Date,High
2006-01-03,218.05
2006-01-04,224.7
2006-01-05,226
2006-01-06,235.49
2006-01-09,236.94
2006-01-10,235.36
2006-01-11,237.79
2006-01-12,237.73
2006-01-13,233.68
2006-01-17,235.18
2006-01-18,228.91
2006-01-19,226.97
2006-01-20,220.24
2006-01-23,214.41
2006-01-24,222.7
2006-01-25,227.34
2006-01-26,220.22
2006-01-27,219.33
2006-01-30,216.86
2006-01-31,220.02
2006-02-01,201.2
2006-02-02,203.45
2006-02-03,197.15
2006-02-06,195.14
2006-02-07,192.04
2006-02-08,185.53
2006-02-09,187.39
2006-02-10,182.43
2006-02-13,175.48
2006-02-14,176.02
2006-02-15,173.17
2006-02-16,183.68
2006-02-17,186.26
2006-02-21,186.96
2006-02-22,184.66
2006-02-23,190.81
2006-02-24,190.23
2006-02-27,196.05
2006-02-28,198.97
2006-03-01,184.91
2006-03-02,190.74
2006-03-03,193.81
2006-03-06,191.89
2006-03-07,184.41
2006-03-08,180.2
2006-03-09,179.44
2006-03-10,172.42
2006-03-13,173.22
2006-03-14,176.36
2006-03-15,176.33
2006-03-16,174.55
2006-03-17,171.06
2006-03-20,175.22
2006-03-21,176.01
2006-03-22,172.22
2006-03-23,173.05
2006-03-24,185.23
2006-03-27,186.04
2006-03-28,189.12
2006-03-29,199.7
2006-03-30,196.95
2006-03-31,196.13
2006-04-03,196.43
2006-04-04,202.65
2006-04-05,207.49
2006-04-06,207.15
2006-04-07,206.63
2006-04-10,208.79
2006-04-11,209.76
2006-04-12,205.87
2006-04-13,205.08
2006-04-17,206.46
2006-04-18,205.12
2006-04-19,207.03
2006-04-20,208.21
2006-04-21,225.59
2006-04-24,222.57
2006-04-25,220.74
2006-04-26,215.24
2006-04-27,213.67
2006-04-28,213.08
2006-05-01,209.93
2006-05-02,201.45
2006-05-03,200.95
2006-05-04,199.63
2006-05-05,200.54
2006-05-08,198.76
2006-05-09,204.7
2006-05-10,206.06
2006-05-11,202.56
2006-05-12,192.63
2006-05-15,190.27
2006-05-16,188.62
2006-05-17,190.11
2006-05-18,191.1
2006-05-19,187.44
2006-05-22,186.7
2006-05-23,192.13
2006-05-24,191.91
2006-05-25,191.69
2006-05-26,193.13
2006-05-30,190.69
2006-05-31,189.31
2006-06-01,191.69
2006-06-02,193.73
2006-06-05,190.92
2006-06-06,195.2
2006-06-07,197.63
2006-06-08,197.33
2006-06-09,197.91
2006-06-12,195.44
2006-06-13,193.69
2006-06-14,195.75
2006-06-15,196.32
2006-06-16,195.66
2006-06-19,197.6
2006-06-20,196.13
2006-06-21,202.2
2006-06-22,203.2
2006-06-23,205.08
2006-06-26,204.35
2006-06-27,204.2
2006-06-28,203.44
2006-06-29,209.31
2006-06-30,209.87
2006-07-03,212.1
2006-07-05,211.61
2006-07-06,212.9
2006-07-07,214.16
2006-07-10,212.83
2006-07-11,212.74
2006-07-12,211.58
2006-07-13,209.38
2006-07-14,205.95
2006-07-17,205.7
2006-07-18,205.49
2006-07-19,200.77
2006-07-20,202.42
2006-07-21,196.07
2006-07-24,197.14
2006-07-25,195.85
2006-07-26,196.15
2006-07-27,193.94
2006-07-28,194.97
2006-07-31,194.78
2006-08-01,193.08
2006-08-02,188.77
2006-08-03,189.14
2006-08-04,190.53
2006-08-07,190.05
2006-08-08,192.44
2006-08-09,192.53
2006-08-10,189.02
2006-08-11,187.83
2006-08-14,187.75
2006-08-15,191.03
2006-08-16,194.42
2006-08-17,195.19
2006-08-18,193.74
2006-08-21,189.69
2006-08-22,189.82
2006-08-23,189.32
2006-08-24,188.39
2006-08-25,187.85
2006-08-28,190.67
2006-08-29,191.35
2006-08-30,192.52
2006-08-31,191.27
2006-09-01,190.83
2006-09-05,192.89
2006-09-06,191.79
2006-09-07,191.07
2006-09-08,190.59
2006-09-11,192.54
2006-09-12,196.56
2006-09-13,203.58
2006-09-14,203.34
2006-09-15,205.23
2006-09-18,209.55
2006-09-19,207.95
2006-09-20,203.9
2006-09-21,204.43
2006-09-22,203.93
2006-09-25,204.93
2006-09-26,204.04
2006-09-27,205.82
2006-09-28,203.69
2006-09-29,203.01
2006-10-02,203.2
2006-10-03,203.43
2006-10-04,208.09
2006-10-05,209.33
2006-10-06,211.17
2006-10-09,216.19
2006-10-10,219.14
2006-10-11,215.17
2006-10-12,215.05
2006-10-13,214.96
2006-10-16,214.81
2006-10-17,212.09
2006-10-18,212.59
2006-10-19,227.68
2006-10-20,230.28
2006-10-23,242.56
2006-10-24,239.17
2006-10-25,244.49
2006-10-26,246.23
2006-10-27,242.86
2006-10-30,240.47
2006-10-31,241.32
2006-11-01,239.8
2006-11-02,237.1
2006-11-03,237.11
2006-11-06,240.07
2006-11-07,239.75
2006-11-08,241.11
2006-11-09,239.98
2006-11-10,237.6
2006-11-13,240.83
2006-11-14,245.22
2006-11-15,250.17
2006-11-16,249.09
2006-11-17,250.08
2006-11-20,249.45
2006-11-21,255.25
2006-11-22,256.76
2006-11-24,254
2006-11-27,251.14
2006-11-28,245.17
2006-11-29,247.62
2006-11-30,245.45
2006-12-01,244.44
2006-12-04,243.96
2006-12-05,244.96
2006-12-06,246.45
2006-12-07,246.15
2006-12-08,244.54
2006-12-11,244.69
2006-12-12,243.42
2006-12-13,242.99
2006-12-14,242.12
2006-12-15,242.3
2006-12-18,241.61
2006-12-19,234.89
2006-12-20,235.99
2006-12-21,232.86
2006-12-22,229.55
2006-12-26,229.96
2006-12-27,234.27
2006-12-28,234.52
2006-12-29,232.47
2007-01-03,238.57
2007-01-04,242.22
2007-01-05,243.99
2007-01-08,245.18
2007-01-09,244.37
2007-01-10,247.02
2007-01-11,251.13
2007-01-12,252.75
2007-01-16,256.76
2007-01-17,254.14
2007-01-18,248.49
2007-01-19,245.63
2007-01-22,246.57
2007-01-23,242.62
2007-01-24,250.02
2007-01-25,252.5
2007-01-26,249.2
2007-01-29,249.62
2007-01-30,249.25
2007-01-31,252.75
2007-02-01,253.26
2007-02-02,242.74
2007-02-05,239.24
2007-02-06,236.89
2007-02-07,237.41
2007-02-08,237.11
2007-02-09,236.58
2007-02-12,231.43
2007-02-13,231.62
2007-02-14,234.8
2007-02-15,233.3
2007-02-16,235.31
2007-02-20,236.61
2007-02-21,239.58
2007-02-22,242.36
2007-02-23,238.71
2007-02-26,237.86
2007-02-27,230.13
2007-02-28,227.06
2007-03-01,226.44
2007-03-02,224.57
2007-03-05,222.97
2007-03-06,229.73
2007-03-07,231.8
2007-03-08,232.98
2007-03-09,229.43
2007-03-12,227.85
2007-03-13,226.19
2007-03-14,224.55
2007-03-15,225.14
2007-03-16,223.57
2007-03-19,224.47
2007-03-20,224.02
2007-03-21,228.51
2007-03-22,231.32
2007-03-23,231.93
2007-03-26,232.73
2007-03-27,232.85
2007-03-28,232.95
2007-03-29,233.23
2007-03-30,231.93
2007-04-02,229.49
2007-04-03,237.36
2007-04-04,236.74
2007-04-05,236.28
2007-04-09,236.74
2007-04-10,235.63
2007-04-11,234.93
2007-04-12,234.23
2007-04-13,234.62
2007-04-16,238.73
2007-04-17,238.43
2007-04-18,240.19
2007-04-19,241.22
2007-04-20,246.5
2007-04-23,242.74
2007-04-24,240.23
2007-04-25,240.93
2007-04-26,242.47
2007-04-27,241.44
2007-04-30,240.92
2007-05-01,236.64
2007-05-02,235.78
2007-05-03,237.27
2007-05-04,237.66
2007-05-07,236.65
2007-05-08,234.32
2007-05-09,236.1
2007-05-10,234.98
2007-05-11,233.73
2007-05-14,233.99
2007-05-15,231.5
2007-05-16,236.81
2007-05-17,237.85
2007-05-18,236.59
2007-05-21,239.84
2007-05-22,239.74
2007-05-23,241.95
2007-05-24,239.84
2007-05-25,242.72
2007-05-29,246.15
2007-05-30,249.67
2007-05-31,254.64
2007-06-01,252.76
2007-06-04,255.51
2007-06-05,259.76
2007-06-06,260.65
2007-06-07,263.51
2007-06-08,260.08
2007-06-11,259.38
2007-06-12,256.09
2007-06-13,254.52
2007-06-14,253.19
2007-06-15,254.75
2007-06-18,258.26
2007-06-19,258.88
2007-06-20,259.63
2007-06-21,257.9
2007-06-22,262.76
2007-06-25,267.76
2007-06-26,266.87
2007-06-27,264.26
2007-06-28,265.01
2007-06-29,263.96
2007-07-02,266.19
2007-07-03,267.47
2007-07-05,272.47
2007-07-06,272.21
2007-07-09,274.64
2007-07-10,273.77
2007-07-11,273.52
2007-07-12,273.93
2007-07-13,276.61
2007-07-16,279.57
2007-07-17,279.14
2007-07-18,277.53
2007-07-19,277.04
2007-07-20,261.85
2007-07-23,260.26
2007-07-24,259.6
2007-07-25,258.77
2007-07-26,256.55
2007-07-27,258.57
2007-07-30,259.93
2007-07-31,260.48
2007-08-01,258.51
2007-08-02,257.75
2007-08-03,256.86
2007-08-06,255.33
2007-08-07,260.2
2007-08-08,263.15
2007-08-09,263.67
2007-08-10,259.62
2007-08-13,260.13
2007-08-14,258.96
2007-08-15,256.1
2007-08-16,248.46
2007-08-17,250.75
2007-08-20,251.53
2007-08-21,254.33
2007-08-22,258.38
2007-08-23,258.32
2007-08-24,258.03
2007-08-27,258.98
2007-08-28,257.75
2007-08-29,256.91
2007-08-30,257.96
2007-08-31,258.51
2007-09-04,264.26
2007-09-05,265
2007-09-06,265.18
2007-09-07,260.88
2007-09-10,261.3
2007-09-11,261.09
2007-09-12,264.25
2007-09-13,263.87
2007-09-14,265.4
2007-09-17,264.9
2007-09-18,268.89
2007-09-19,275
2007-09-20,278.68
2007-09-21,280.68
2007-09-24,286.02
2007-09-25,285.06
2007-09-26,286.18
2007-09-27,286.16
2007-09-28,285.06
2007-10-01,292.47
2007-10-02,298.7
2007-10-03,294.79
2007-10-04,292.84
2007-10-05,298.3
2007-10-08,305.44
2007-10-09,312.2
2007-10-10,313.15
2007-10-11,321.03
2007-10-12,319.52
2007-10-15,320.25
2007-10-16,313.27
2007-10-17,317.32
2007-10-18,321.01
2007-10-19,329.57
2007-10-22,327.83
2007-10-23,339.14
2007-10-24,339.07
2007-10-25,339.82
2007-10-26,338.61
2007-10-29,340.34
2007-10-30,350.3
2007-10-31,353.85
2007-11-01,357.22
2007-11-02,357.15
2007-11-05,365.48
2007-11-06,371.27
2007-11-07,373.99
2007-11-08,367.81
2007-11-09,341.28
2007-11-12,335.3
2007-11-13,330.79
2007-11-14,338.08
2007-11-15,324.07
2007-11-16,318.06
2007-11-19,318.7
2007-11-20,329.88
2007-11-21,335.32
2007-11-23,339.48
2007-11-26,347
2007-11-27,338.55
2007-11-28,347.5
2007-11-29,351.75
2007-11-30,355.89
2007-12-03,347.85
2007-12-04,346.35
2007-12-05,349.81
2007-12-06,358.64
2007-12-07,359.36
2007-12-10,362.76
2007-12-11,360.86
2007-12-12,357.52
2007-12-13,349.16
2007-12-14,350.2
2007-12-17,348.06
2007-12-18,338.69
2007-12-19,340.09
2007-12-20,345.85
2007-12-21,349.98
2007-12-24,350.72
2007-12-26,356.97
